Generation,Mean Fitness,Best Fitness
1,191.767,134.018
2,180.763,130.703
3,169.933,119.241
4,155.306,92.5499
5,139.086,80.6409
6,127.559,80.6409
7,118.857,75.2486
8,109.092,65.1001
9,99.5299,59.1372
10,90.2677,52.9604
11,78.785,38.522
12,71.0004,38.522
13,58.7521,36.849
14,49.0421,38.522
15,43.3775,36.849
16,40.5278,36.849
17,38.9412,38.522
18,38.6585,38.522
19,38.522,38.522
20,38.522,38.522
21,38.522,38.522
22,38.522,38.522
23,38.522,38.522
24,38.522,38.522
25,38.522,38.522
26,38.522,38.522
27,38.6747,38.522
28,38.522,38.522
29,38.522,38.522
30,38.522,38.522
31,38.522,38.522
32,38.522,38.522
33,38.522,38.522
34,38.522,38.522
35,38.522,38.522
36,38.7633,38.522
37,38.522,38.522
38,38.522,38.522
39,38.522,38.522
40,38.522,38.522
41,38.522,38.522
42,38.522,38.522
43,38.522,38.522
44,38.522,38.522
45,38.522,38.522
46,38.522,38.522
47,38.522,38.522
48,38.522,38.522
49,38.522,38.522
50,38.522,38.522
51,38.522,38.522
52,38.522,38.522
53,38.522,38.522
54,38.522,38.522
55,38.522,38.522
56,38.522,38.522
57,38.522,38.522
58,38.522,38.522
59,38.522,38.522
60,38.522,38.522
61,38.522,38.522
62,38.522,38.522
63,38.522,38.522
64,38.522,38.522
65,38.522,38.522
66,38.522,38.522
67,38.522,38.522
68,38.522,38.522
69,38.522,38.522
70,38.522,38.522
71,38.4834,36.5938
72,38.4063,36.5938
73,38.3292,36.5938
74,38.0978,36.5938
75,37.905,36.5938
76,37.4422,36.5938
77,36.9795,36.5938
78,36.5938,36.5938
79,36.5938,36.5938
80,36.5938,36.5938
81,36.5938,36.5938
82,36.5938,36.5938
83,36.5938,36.5938
84,36.5938,36.5938
85,36.5938,36.5938
86,36.5938,36.5938
87,36.5938,36.5938
88,36.5938,36.5938
89,36.5938,36.5938
90,36.5938,36.5938
91,36.5938,36.5938
92,36.5938,36.5938
93,36.5938,36.5938
94,36.5938,36.5938
95,36.5938,36.5938
96,36.5938,36.5938
97,36.5938,36.5938
98,36.5938,36.5938
99,36.5938,36.5938
100,36.5938,36.5938
101,36.5938,36.5938
102,36.5938,36.5938
103,36.5938,36.5938
104,36.5938,36.5938
105,36.5938,36.5938
106,36.5938,36.5938
107,36.5938,36.5938
108,36.5938,36.5938
109,36.5938,36.5938
110,36.5938,36.5938
111,36.5938,36.5938
112,36.5938,36.5938
113,36.5938,36.5938
114,36.5938,36.5938
115,36.5938,36.5938
116,36.5938,36.5938
117,36.5938,36.5938
118,36.5938,36.5938
119,36.5938,36.5938
120,36.5938,36.5938
121,36.5938,36.5938
122,36.5938,36.5938
123,36.5938,36.5938
124,36.5938,36.5938
125,36.5938,36.5938
126,36.5938,36.5938
127,36.5938,36.5938
128,36.5938,36.5938
129,36.5938,36.5938
130,36.5938,36.5938
131,36.5938,36.5938
132,36.5938,36.5938
133,36.5938,36.5938
134,36.5938,36.5938
135,36.5938,36.5938
136,36.5938,36.5938
137,36.5938,36.5938
138,36.5938,36.5938
139,36.5938,36.5938
140,36.5938,36.5938
141,36.5938,36.5938
142,36.5938,36.5938
143,36.5938,36.5938
144,36.5938,36.5938
145,36.5938,36.5938
146,36.5938,36.5938
147,36.5938,36.5938
148,36.5938,36.5938
149,36.5938,36.5938
150,36.5938,36.5938
151,36.5938,36.5938
152,36.5938,36.5938
153,36.5938,36.5938
154,36.5938,36.5938
155,36.5938,36.5938
156,36.5938,36.5938
157,36.5938,36.5938
158,36.5938,36.5938
159,36.5938,36.5938
160,36.5938,36.5938
161,36.5938,36.5938
162,36.5938,36.5938
163,36.5938,36.5938
164,36.5938,36.5938
165,36.5938,36.5938
166,36.5938,36.5938
167,36.5938,36.5938
168,36.5938,36.5938
169,36.5938,36.5938
170,36.5938,36.5938
171,36.5938,36.5938
172,36.5938,36.5938
173,36.5938,36.5938
174,36.5938,36.5938
175,36.5938,36.5938
176,36.5938,36.5938
177,36.5938,36.5938
178,36.5938,36.5938
179,36.5938,36.5938
180,36.5938,36.5938
181,36.5938,36.5938
182,36.5938,36.5938
183,36.5938,36.5938
184,36.5938,36.5938
185,36.5938,36.5938
186,36.5938,36.5938
187,36.5938,36.5938
188,36.5938,36.5938
189,36.5938,36.5938
190,36.5938,36.5938
191,36.5938,36.5938
192,36.5938,36.5938
193,36.5938,36.5938
194,36.5938,36.5938
195,36.5938,36.5938
196,36.5938,36.5938
197,36.5938,36.5938
198,36.5938,36.5938
199,36.5938,36.5938
200,36.5938,36.5938
201,36.5938,36.5938
202,36.5938,36.5938
203,36.5938,36.5938
204,36.5938,36.5938
205,36.5938,36.5938
206,36.5938,36.5938
207,36.5938,36.5938
208,36.5938,36.5938
209,36.5938,36.5938
210,36.5938,36.5938
211,36.5938,36.5938
212,36.5938,36.5938
213,36.5938,36.5938
214,36.5938,36.5938
215,36.5938,36.5938
216,36.5938,36.5938
217,36.5938,36.5938
218,36.5938,36.5938
219,36.5938,36.5938
220,36.5938,36.5938
221,36.5938,36.5938
222,36.5938,36.5938
223,36.5938,36.5938
224,36.5938,36.5938
225,36.5938,36.5938
226,36.5938,36.5938
227,36.5938,36.5938
228,36.5938,36.5938
229,36.5938,36.5938
230,36.5938,36.5938
231,36.5938,36.5938
232,36.5938,36.5938
233,36.5938,36.5938
234,36.5938,36.5938
235,36.5938,36.5938
236,36.5938,36.5938
237,36.5938,36.5938
238,36.5938,36.5938
239,36.5938,36.5938
240,36.5938,36.5938
241,36.5938,36.5938
242,36.5938,36.5938
243,36.5938,36.5938
244,36.5938,36.5938
245,36.5938,36.5938
246,36.5938,36.5938
247,36.5938,36.5938
248,36.5938,36.5938
249,36.5938,36.5938
250,36.5938,36.5938
251,36.5938,36.5938
252,36.5938,36.5938
253,36.5938,36.5938
254,36.5938,36.5938
255,36.5938,36.5938
256,36.5938,36.5938
257,36.5938,36.5938
258,36.5938,36.5938
259,36.5938,36.5938
260,36.5938,36.5938
261,36.5938,36.5938
262,36.5938,36.5938
