Generation,Mean Fitness,Best Fitness
1,2.00326e+17,9072.15
2,7.84036e+31,3.48182e+18
3,1.32455e+32,5.99749e+18
4,1.37861e+32,6.24906e+18
5,1.38401e+32,6.27422e+18
6,1.38455e+32,6.27673e+18
7,1.38461e+32,6.27699e+18
8,1.38461e+32,6.27701e+18
9,1.38461e+32,6.27701e+18
10,1.38461e+32,6.27701e+18
11,1.38461e+32,6.27701e+18
12,1.38461e+32,6.27701e+18
13,1.38461e+32,6.27701e+18
14,1.38461e+32,6.27701e+18
15,1.38461e+32,6.27701e+18
16,1.38461e+32,6.27701e+18
17,1.38461e+32,6.27701e+18
18,1.38461e+32,6.27701e+18
19,1.38461e+32,6.27701e+18
20,1.38461e+32,6.27701e+18
21,1.38461e+32,6.27701e+18
22,1.38461e+32,6.27701e+18
23,1.38461e+32,6.27701e+18
24,1.38461e+32,6.27701e+18
25,1.38461e+32,6.27701e+18
26,1.38461e+32,6.27701e+18
27,1.38461e+32,6.27701e+18
28,1.38461e+32,6.27701e+18
29,1.38461e+32,6.27701e+18
30,1.38461e+32,6.27701e+18
31,1.38461e+32,6.27701e+18
32,1.38461e+32,6.27701e+18
33,1.38461e+32,6.27701e+18
34,1.38461e+32,6.27701e+18
35,1.38461e+32,6.27701e+18
36,1.38461e+32,6.27701e+18
37,1.38461e+32,6.27701e+18
38,1.38461e+32,6.27701e+18
39,1.38461e+32,6.27701e+18
40,1.38461e+32,6.27701e+18
41,1.38461e+32,6.27701e+18
42,1.38461e+32,6.27701e+18
43,1.38461e+32,6.27701e+18
44,1.38461e+32,6.27701e+18
45,1.38461e+32,6.27701e+18
46,1.38461e+32,6.27701e+18
47,1.38461e+32,6.27701e+18
48,1.38461e+32,6.27701e+18
49,1.38461e+32,6.27701e+18
50,1.38461e+32,6.27701e+18
51,1.38461e+32,6.27701e+18
52,1.38461e+32,6.27701e+18
53,1.38461e+32,6.27701e+18
54,1.38461e+32,6.27701e+18
55,1.38461e+32,6.27701e+18
56,1.38461e+32,6.27701e+18
57,1.38461e+32,6.27701e+18
58,1.38461e+32,6.27701e+18
59,1.38461e+32,6.27701e+18
60,1.38461e+32,6.27701e+18
61,1.38461e+32,6.27701e+18
62,1.38461e+32,6.27701e+18
63,1.38461e+32,6.27701e+18
64,1.38461e+32,6.27701e+18
65,1.38461e+32,6.27701e+18
66,1.38461e+32,6.27701e+18
67,1.38461e+32,6.27701e+18
68,1.38461e+32,6.27701e+18
69,1.38461e+32,6.27701e+18
70,1.38461e+32,6.27701e+18
71,1.38461e+32,6.27701e+18
72,1.38461e+32,6.27701e+18
73,1.38461e+32,6.27701e+18
74,1.38461e+32,6.27701e+18
75,1.38461e+32,6.27701e+18
76,1.38461e+32,6.27701e+18
77,1.38461e+32,6.27701e+18
78,1.38461e+32,6.27701e+18
79,1.38461e+32,6.27701e+18
80,1.38461e+32,6.27701e+18
81,1.38461e+32,6.27701e+18
82,1.38461e+32,6.27701e+18
83,1.38461e+32,6.27701e+18
84,1.38461e+32,6.27701e+18
85,1.38461e+32,6.27701e+18
86,1.38461e+32,6.27701e+18
87,1.38461e+32,6.27701e+18
88,1.38461e+32,6.27701e+18
89,1.38461e+32,6.27701e+18
90,1.38461e+32,6.27701e+18
91,1.38461e+32,6.27701e+18
92,1.38461e+32,6.27701e+18
93,1.38461e+32,6.27701e+18
94,1.38461e+32,6.27701e+18
95,1.38461e+32,6.27701e+18
96,1.38461e+32,6.27701e+18
97,1.38461e+32,6.27701e+18
98,1.38461e+32,6.27701e+18
99,1.38461e+32,6.27701e+18
100,1.38461e+32,6.27701e+18
101,1.38461e+32,6.27701e+18
102,1.38461e+32,6.27701e+18
103,1.38461e+32,6.27701e+18
104,1.38461e+32,6.27701e+18
105,1.38461e+32,6.27701e+18
106,1.38461e+32,6.27701e+18
107,1.38461e+32,6.27701e+18
108,1.38461e+32,6.27701e+18
109,1.38461e+32,6.27701e+18
110,1.38461e+32,6.27701e+18
111,1.38461e+32,6.27701e+18
112,1.38461e+32,6.27701e+18
113,1.38461e+32,6.27701e+18
114,1.38461e+32,6.27701e+18
115,1.38461e+32,6.27701e+18
116,1.38461e+32,6.27701e+18
117,1.38461e+32,6.27701e+18
118,1.38461e+32,6.27701e+18
119,1.38461e+32,6.27701e+18
120,1.38461e+32,6.27701e+18
121,1.38461e+32,6.27701e+18
122,1.38461e+32,6.27701e+18
123,1.38461e+32,6.27701e+18
124,1.38461e+32,6.27701e+18
125,1.38461e+32,6.27701e+18
126,1.38461e+32,6.27701e+18
127,inf,3.40282e+37
128,inf,inf
129,inf,inf
130,inf,inf
131,inf,inf
132,inf,inf
133,inf,inf
134,inf,inf
135,inf,inf
136,inf,inf
137,inf,inf
138,inf,inf
139,inf,inf
140,inf,inf
141,inf,inf
142,inf,inf
