Generation,Mean Fitness,Best Fitness
1,5.00278,2.13802
2,4.46341,1.97272
3,4.00331,1.72314
4,3.56191,1.46238
5,3.1626,1.21293
6,2.78501,1.08031
7,2.43627,0.944499
8,2.12117,0.732874
9,1.835,0.613967
10,1.57244,0.431444
11,1.33856,0.360527
12,1.13365,0.278567
13,0.955747,0.214794
14,0.801659,0.160551
15,0.66596,0.112164
16,0.547671,0.0571944
17,0.444836,-0.0298755
18,0.354887,-0.0759423
19,0.275945,-0.116131
20,0.20037,-0.173294
21,0.135989,-0.25544
22,0.0740897,-0.297404
23,0.0140398,-0.334954
24,-0.0428311,-0.380643
25,-0.101711,-0.449449
26,-0.159023,-0.505004
27,-0.218061,-0.561749
28,-0.276465,-0.610287
29,-0.334022,-0.697844
30,-0.391605,-0.759653
31,-0.451732,-0.809555
32,-0.511753,-0.885458
33,-0.572916,-0.926698
34,-0.632041,-0.99612
35,-0.692531,-1.06643
36,-0.752987,-1.12756
37,-0.812979,-1.16386
38,-0.872577,-1.24963
39,-0.93298,-1.28724
40,-0.993733,-1.36646
41,-1.05433,-1.43006
42,-1.11411,-1.48553
43,-1.17559,-1.55589
44,-1.23824,-1.61728
45,-1.30103,-1.67075
46,-1.36269,-1.73265
47,-1.42401,-1.79767
48,-1.48447,-1.8558
49,-1.54552,-1.92804
50,-1.60786,-1.97681
