Generation,Mean Fitness,Best Fitness
1,-1.63759,-1.60263
2,-1.39896,-1.40933
3,-1.25089,-1.25633
4,-1.14136,-1.15691
5,-1.05193,-1.0468
6,-0.977941,-0.961985
7,-0.917168,-0.9281
8,-0.865667,-0.868589
9,-0.818987,-0.818083
10,-0.778688,-0.777272
11,-0.739371,-0.736423
12,-0.703446,-0.68951
13,-0.672059,-0.666245
14,-0.646155,-0.653245
15,-0.621755,-0.633167
16,-0.600628,-0.597719
17,-0.580012,-0.58589
18,-0.565987,-0.562324
19,-0.55277,-0.558719
20,-0.539783,-0.54182
21,-0.527258,-0.518439
22,-0.518428,-0.515634
23,-0.509088,-0.505391
24,-0.500275,-0.500401
25,-0.492192,-0.496882
26,-0.487071,-0.49037
27,-0.482112,-0.485842
28,-0.476681,-0.478742
29,-0.472986,-0.473256
30,-0.469018,-0.463409
31,-0.464244,-0.463989
32,-0.460862,-0.471124
33,-0.457764,-0.462271
34,-0.453505,-0.457263
35,-0.451191,-0.456646
36,-0.448242,-0.442309
37,-0.446745,-0.447769
38,-0.445248,-0.449317
39,-0.443843,-0.453455
40,-0.442296,-0.447218
41,-0.440322,-0.437838
42,-0.438142,-0.436443
43,-0.436874,-0.445514
44,-0.435334,-0.440836
45,-0.433315,-0.429122
46,-0.434034,-0.444569
47,-0.432932,-0.4347
48,-0.431682,-0.432501
49,-0.430809,-0.435713
50,-0.428628,-0.425733
