Generation,Mean Fitness,Best Fitness
1,185.198,136.349
2,173.827,106.178
3,159.928,106.178
4,152.372,87.121
5,140.044,81.4776
6,129.386,61.9964
7,110.967,61.9964
8,100.05,43.5869
9,87.0984,51.3395
10,85.5767,41.2566
11,76.5545,45.7901
12,70.1976,43.4069
13,69.2889,31.2476
14,60.1173,32.1333
15,54.6671,36.6937
16,49.7804,36.0248
17,49.1297,29.7937
18,41.652,27.0355
19,43.3607,27.0355
20,43.1895,29.7937
21,39.6503,27.0355
22,39.9653,27.0355
23,39.8241,26.8048
24,39.7029,26.8048
25,36.108,26.2768
26,36.3057,26.2768
27,35.0707,26.2768
28,31.7376,26.2768
29,31.7875,26.2768
30,34.9372,26.2768
31,33.4539,26.2768
32,31.8127,23.8922
33,31.8389,23.8922
34,32.256,25.5694
35,34.7268,23.8922
36,31.2347,23.1848
37,30.0832,23.1848
38,29.6844,23.1848
39,28.6931,23.1848
40,27.8645,23.1848
41,30.4204,23.1848
42,28.3985,23.1848
43,30.2239,23.1848
44,28.6781,23.1848
45,29.3725,23.1848
46,29.562,23.1848
47,28.2755,23.1848
48,27.5933,23.1848
49,28.6487,23.1848
50,29.8459,23.1848
