Generation,Mean Fitness,Best Fitness
1,24.9185,29.3959
2,26.1583,30.5256
3,27.1778,30.8873
4,27.95,30.5079
5,28.8195,31.4152
6,29.6101,32.4834
7,29.9458,31.9336
8,30.4334,33.3121
9,31.252,33.5711
10,31.685,33.964
11,32.2622,34.4399
12,32.6165,33.9641
13,32.8946,34.5567
14,33.217,34.2785
15,33.6282,35.0567
16,33.9953,35.1172
17,34.3602,36.1871
18,34.8145,36.1871
19,35.4773,36.858
20,35.8715,37.0881
21,36.2321,37.0881
22,36.4319,37.1357
23,36.6374,37.2472
24,36.8917,37.6941
25,36.9954,38.0715
26,37.1366,38.0715
27,37.3257,38.1728
28,37.5172,38.4191
29,37.7107,38.5556
30,38.079,38.9961
31,38.2958,39.1082
32,38.4653,39.2213
33,38.6708,39.2213
34,38.7946,39.6922
35,39.1487,39.7158
36,39.3031,40.053
37,39.4419,40.1763
38,39.7297,40.2018
39,39.7946,40.3153
40,39.9039,40.3408
41,40.0399,40.6884
42,40.1372,40.6884
43,40.2251,40.6884
44,40.2609,40.6884
45,40.3373,40.6884
46,40.4281,41.032
47,40.4614,41.032
48,40.5998,41.032
49,40.7587,41.388
50,40.8569,41.388
51,40.985,41.7316
52,41.103,41.7316
53,41.2783,41.7316
54,41.4217,41.8559
55,41.5407,41.8559
56,41.6339,41.8559
57,41.7531,41.8559
58,41.8043,41.8559
59,41.8298,41.8559
60,41.8558,41.8559
61,41.8286,42.3393
62,41.8657,42.3393
63,41.8947,42.3393
64,41.9042,42.3393
65,41.9376,42.3393
66,41.954,42.3393
67,42.116,42.5589
68,42.1978,42.5589
69,42.3024,42.5589
70,42.3455,42.5589
71,42.3616,42.5589
72,42.4378,42.5589
73,42.4929,42.5589
74,42.5148,42.56
75,42.5589,42.56
76,42.5617,42.6961
77,42.5686,42.6961
78,42.5783,42.6972
79,42.5922,42.7672
80,42.5978,42.7672
81,42.6047,42.6972
82,42.6515,42.7682
83,42.6516,42.7682
84,42.7202,42.8699
85,42.7126,42.7682
86,42.7369,42.7682
87,42.7503,42.882
88,42.7536,42.8278
89,42.7813,42.8278
90,42.8054,43.0239
91,42.8267,43.0239
92,42.8469,43.0239
93,42.8679,43.0239
94,42.9006,43.1434
95,42.9379,43.1434
96,43.0161,43.1995
97,43.0848,43.1995
98,43.1191,43.1995
99,43.1447,43.1995
100,43.1273,43.1995
101,43.1724,43.1995
102,43.1786,43.1995
103,43.1996,43.1995
104,43.1809,43.1995
105,43.1996,43.1995
106,43.1813,43.2473
107,43.203,43.276
108,43.2024,43.2473
109,43.1871,43.2473
110,43.1949,43.2473
111,43.2225,43.2473
112,43.2361,43.2583
113,43.2314,43.2583
114,43.2484,43.2583
115,43.2322,43.3796
116,43.2614,43.3796
117,43.253,43.3796
118,43.2666,43.3796
119,43.304,43.3796
120,43.3026,43.444
121,43.346,43.4447
122,43.393,43.509
123,43.4167,43.5323
124,43.4546,43.6698
125,43.4913,43.7644
126,43.5323,43.7644
127,43.578,43.7692
128,43.6378,43.8637
129,43.6436,43.918
130,43.7073,43.918
131,43.7628,43.918
132,43.8168,43.918
133,43.8542,43.918
134,43.8737,43.918
135,43.8995,43.918
136,43.9137,43.918
137,43.918,43.918
138,43.903,43.969
139,43.919,43.969
140,43.918,43.918
141,43.9198,43.9909
142,43.9268,44.1757
143,43.919,44.1757
144,43.9478,44.2486
145,43.9711,44.2486
146,44.0216,44.2026
147,44.0674,44.2486
