Generation,Mean Fitness,Best Fitness
1,24.9855,29.4981
2,26.0934,29.8998
3,27.0686,30.5037
4,28.0021,31.1837
5,28.8283,31.8831
6,29.6108,32.4003
7,30.3016,32.8468
8,30.9739,33.3863
9,31.6155,33.8523
10,32.182,34.1729
11,32.7051,34.6055
12,33.1922,34.9237
13,33.6262,35.1542
14,34.0368,35.4804
15,34.4147,35.7629
16,34.7471,35.9939
17,35.0566,36.212
18,35.3439,36.4109
19,35.6067,36.5848
20,35.8478,36.799
21,36.0624,36.8942
22,36.2738,37.0583
23,36.4722,37.2066
24,36.6551,37.3224
25,36.8234,37.4086
26,36.9779,37.4981
27,37.1208,37.6097
28,37.2402,37.6626
29,37.3461,37.7299
30,37.4468,37.7953
31,37.5344,37.8532
32,37.6113,37.9225
33,37.6782,37.9562
34,37.7416,37.9941
35,37.7994,38.0143
36,37.8532,38.0517
37,37.9038,38.0744
38,37.9467,38.0981
39,37.9852,38.1131
40,38.018,38.1299
41,38.0506,38.1559
42,38.0768,38.1534
43,38.0988,38.1658
44,38.1191,38.1949
45,38.1345,38.1996
46,38.1478,38.221
47,38.1617,38.2556
48,38.1744,38.2797
49,38.1881,38.3003
50,38.2024,38.3119
