Generation,Mean Fitness,Best Fitness
1,-1.62249,-4.98689
2,-1.84248,-4.91036
3,-2.07636,-6.06335
4,-2.33994,-6.42165
5,-2.62108,-7.57421
6,-2.95414,-7.45161
7,-3.33483,-8.26606
8,-3.78144,-9.36654
9,-4.26554,-9.78577
10,-4.79567,-10.6419
11,-5.38944,-11.8079
12,-6.03462,-12.4369
13,-6.66857,-12.7131
14,-7.34066,-13.1704
15,-8.02401,-14.1017
16,-8.71974,-14.5909
17,-9.36199,-15.2695
18,-10.044,-15.5296
19,-10.6112,-16.0139
20,-11.2208,-16.1561
21,-11.7849,-16.5944
22,-12.3965,-17.1551
23,-12.9609,-17.2662
24,-13.4473,-17.7484
25,-13.9674,-17.8368
26,-14.5283,-18.1076
27,-14.9607,-18.4462
28,-15.349,-18.509
29,-15.8262,-18.599
30,-16.1382,-18.6817
31,-16.497,-18.7584
32,-16.7888,-18.9187
33,-16.9961,-19.0778
34,-17.1432,-19.19
35,-17.3839,-19.294
36,-17.5788,-19.3512
37,-17.7528,-19.4263
38,-17.8949,-19.51
39,-18.0162,-19.5636
40,-18.1358,-19.6132
41,-18.2369,-19.6403
42,-18.2747,-19.6849
43,-18.4295,-19.719
44,-18.5167,-19.7398
45,-18.5658,-19.7681
46,-18.6209,-19.7946
47,-18.6657,-19.8144
48,-18.7347,-19.8467
49,-18.7862,-19.8557
50,-18.8475,-19.8652
