Generation,Mean Fitness,Best Fitness
1,187.425,127.227
2,180.617,104.853
3,174.669,97.415
4,162.814,63.8961
5,152.293,75.8065
6,133.33,85.188
7,121.392,65.2541
8,112.594,58.5757
9,108.041,50.9008
10,95.5091,58.6737
11,88.7603,56.8048
12,85.4434,42.94
13,75.9267,42.4153
14,72.7386,32.546
15,63.6844,35.5264
16,63.5417,34.9395
17,55.9988,31.4501
18,48.8291,28.5423
19,44.2648,29.491
20,43.358,24.1756
21,37.8691,24.1756
22,37.5146,24.1756
23,36.3221,23.6648
24,35.8339,22.3017
25,36.057,22.3017
26,30.2806,23.1821
27,29.5127,20.8277
28,27.1814,20.8277
29,27.1596,19.7788
30,25.8528,20.48
31,24.6709,20.48
32,24.0022,19.2961
33,24.6706,19.7788
34,24.1423,19.2961
35,24.0062,19.3335
36,25.2226,19.2961
37,22.7187,18.7549
38,22.1289,19.2376
39,21.2689,16.925
40,21.6051,16.3838
41,21.7535,16.3838
42,21.0718,16.3838
43,22.6638,15.3902
44,19.6032,15.3902
45,18.7343,15.3902
46,18.194,15.3902
47,17.4852,15.3902
48,17.7217,15.3902
49,17.8701,15.3902
50,18.1028,15.3902
